Marca temporal,Escull el teu idioma / Escoge tu idioma / Choose your language,Gènere,Nacionalitat,"Has finalitzat, o estas actualment cursant, estudis superiors STEM?","El teu referent 1 (Pares, mares,tutors,...)ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?","El teu referent 2 (Pares, mares,tutors,...) ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?",Consideres que els estudis d’algun del teus referents o d’amdós t’han condicionat a l’hora d’escollir els teus estudis superiors?,Género,Nacionalidad,"¿Has finalizado, o estás actualmente cursando, estudios superiores STEM?","¿Tu referente 1 (Padres, madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?","¿Tu referente 2 (padres,madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?",¿Consideras que los estudios de alguno de tus referentes o de ambos te han condicionado a la hora de escoger tus estudios superiores?,Gender,Nationality,"Have you completed, or are you currently pursuing, STEM higher education?",Has your first mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Has your second mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Do you consider that your mentors’ studies have influenced you when choosing your career? 
1/12/2020 12:44:54,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 12:46:12,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
1/12/2020 12:48:35,Cat,Dona,Espanyola,Sí,No,,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 13:00:02,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 13:37:34,Cat,Dona,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 13:55:23,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 13:59:30,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 14:07:11,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
1/12/2020 14:14:57,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,No,,,,,,,,,,,,,,,,
1/12/2020 14:15:18,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 14:16:45,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 14:17:59,Cat,Dona,Espanyola,No,Sí,No,No,No,Sí,,,,,,,,,,,,,,,,
1/12/2020 14:21:20,Esp,Mujer,Española,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 14:43:28,Cat,Home,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 14:43:58,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 14:47:48,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 14:50:21,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 15:00:34,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
1/12/2020 15:03:55,Esp,Mujer,Cubana,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 15:05:03,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 15:21:38,Cat,Dona,Espanyola,No,Sí,No,No,No,Sí,,,,,,,,,,,,,,,,
1/12/2020 15:30:01,Cat,Dona,Espanyola,No,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 15:30:45,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 15:31:12,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 15:41:23,Esp,Mujer,Cubana,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 15:56:21,Esp,Mujer,Española,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 16:00:03,Esp,Mujer,Española,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 16:13:19,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 16:18:08,Cat,Dona,Espanyola,Sí,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
1/12/2020 16:53:42,Esp,No-binario,Española,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
1/12/2020 17:11:47,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 17:12:11,Esp,Mujer,Española,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 17:23:50,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
1/12/2020 17:40:30,Esp,Mujer,Argentina,Sí,Sí,No,Sí,Sí,Sí,,,,,,,,,,,,,,,,
1/12/2020 17:54:18,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
